kadın_isimleri
Aleyna
Aynur
Aysel
Ayşe
Ayten
Azra
Berfin
Betül
Beyza
Büşra
Ceren
Çiğdem
Derya
Dilara
Ebru
Ecrin
Ela
Elif
Emine
Esra
Eylül
Fadime
Fatma
Filiz
Gamze
Gizem
Hacer
Hanife
Hatice
Hilal
Hiranur
Hülya
İlayda
İrem
Kübra
Leyla
Medine
Melek
Melike
Melisa
Merve
Meryem
Nehir
Nisa
Nisanur
Nuray
Nurcan
Özlem
Pınar
Rabia
Seda
Selma
Semra
Sevim
Sıla
Sibel
Songül
Sude
Sudenaz
Sultan
Sümeyye
Şevval
Tuana
Tuğba
Yağmur
Yaren
Yasemin
Zehra
Zeynep
