soyisim
ŞEN
KANDEMİR
ÇEVİK
ERKURAN
TÜTEN
ÖZTÜRK
YÜZBAŞIOĞLU
VURAL
YÜCEL
SÖNMEZ
ERTEKİN
DEDE
UYANIK
ASLAN
AKBULUT
ORHON
UZ
YAVUZ
ERDEM
KULAÇ
KAYA
SELVİ
AKPINAR
ABACIOĞLU
ÇAY
IŞIK
ÖZER
ÖZDEMİR
TAHTACI
BÜYÜKCAM
KULAKSIZ
AKSEL
EROĞLU
KARAKUM
DAL
ÖCAL
AYHAN
YİĞİT
YARBİL
CANACANKATAN
GÜMÜŞAY
MURT
HALHALLI
ULUÖZ
ŞEYHANLI
ÇALIŞKANTÜRK
YILMAZ
SARAÇOĞLU
SEZER
DOĞAN
DEMİR
KAYAYURT
SÜRÜM
YAVAŞİ
TURGUT
BARBAROS
ALDİNÇ
TEKİN
GÜLŞAN
KÜFECİLER
ALMACIOĞLU
ÇİLDİR
TÜRKDOĞAN
ÖNER
ŞELİMAN
YAMAN
ATİK
GİRAY
YALÇINKAYA
KILIÇ
ŞENTÜRK
KARABAĞ
DEĞİRMENCİ
BODUROĞLU
YILDIZ
GÜLER
ERASLAN
ÜZER
PİŞİRGEN
ADANIR
KOÇ
KORKMAZ
YENİDOĞAN
AYDOĞAN
ACARBULUT
ERGE
ERDOĞAN
ÖĞÜT
KUŞKU
KUCUR
PEKTAŞ
KAYACAN
GÜLEN
AYDIN
CANDAN
TEMEL
YENİGÜN
YILDIRIM
BEDER
AKINCI
ONUK
AKCAN
CÖMERT
TOPAL
KARAHAN
ŞAHİN
ÇETİN
AYTAÇ
KİŞİ
GÜNDÜZ
ÖZKURT
AK
URFALI
KARAMAN
MEMETOĞLU
KAZBEK
KİREÇÇİ
AKIN
YADİGAROĞLU
YÜKSEL
ÖZÇELİK
BABUŞ
KAPLAN
AKÖZ
KARTAL
BİLGİÇ
ERDEN
TUĞCUGİL
KUMRAL
ERBAŞ
ORAL
KILAÇ
CENGİZ
KUTLUCAN
BALABAN
BALCI
TÜFEKÇİ
ATAY
YARAR
SEVER
ARSLAN
ARKAN
TUTAŞ
HAVAS
SEÇİR
SOYKAMER
BEKTAŞ
BERK
GÜL
GEDİK
ÇOLAK
BULUT
SARI
AKYOL
BAĞCIK
KUTLUYURDU
DEMİRGAN
GERİLMEZ
DÜZKALIR
KÖKSOY
GÜLŞEN
AKAR
ÖZDOĞAN
TÖNGE
YASA
ÖNVERMEZ
BİÇER
KARADEMİR
ALIMLI
AKGÜL
HANCIOĞLU
BATÇIK
OLPAK
BOLAT
SİĞA
MERCAN
BOZKURTER
ERGİNEL
KADAK
GÜNEY
GAYRETLİ
HEPKAYA
BAYRAM
KANIK
KULAK
ESER
GİDER
KURT
ELLİALTI
DEMİRTAŞ
ARGA
BAŞKAN
ALUÇLU
MUTLU
ŞATIR
ENGİZ
ÇİPE
UYSAL
BAŞER
GÖZKAYA
ULUTAŞ
PİRİM
ÜSTÜN
KIZMAZOĞLU
ULUBA
KARAOĞLU
ÖZSOY
YALÇIN
SAF
GENÇPINAR
AKASLAN
UYĞUN
ÖNDER
BAYMAK
GÜVENÇ
AKCA
ÖZCAN
BAŞMAN
YANNİ
ÜNAL
GÜNDOĞDU
ÇELİK
USTA
TANRIVERDİ
TAŞKIN
GAZETECİ
SARİ
KARAKOYUN
KARAKUŞ
EKİCİ
AYDINER
AKTAŞ
BELGEMEN
OFLAZ
BUĞRUL
BAYSOY
BÜKÜLMEZ
BIÇAKÇI
KARA
TİMURTAŞ
ATEŞ
BİNBOĞA
KIZILTEPE
ABSEYİ
AMİROVA
TAŞ
CEYLAN
EROL
TAYFUN
KARAKURT
BUDUNOĞLU
SAYGIN
ERYAVUZ
POLAT
ÜNSAL
ALPINAR
CİNDEMİR
AKDUMAN
UYAR
TÜLPAR
AZAK
EREN
GÖZCÜ
BAYSAL
TUNCEL
ÇETEMEN
GİNİŞ
UZUN
NASIROĞLU
SEZGİN
BULUR
DUYSAK
YENİN
DEMİREL
SAK
KOCABAŞ
SARAÇ
ALKURT
YURT
İLKAY
TAVŞAN
ALAY
ERTEM
ÖZEL
GENÇ
UĞUZ
EVİK
EKER
ÇİMEN
ÇIRAKOĞLU
ALPAYCI
ERCAN
ALTUN
SARP
SÖKER
KÖSE
BARÇAK
ÖZEKLİ
BOLAÇ
ASLANALP
ÖRNEK
AKDOĞAN
ERTÜRKLER
SARAL
ÖZKAN
DEMİRHAN
ASLANKARA
EMLAKÇIOĞLU
ÖDEN
DEMİRAY
YAĞCI
AVCI
BAYGELDİ
BÜKÜM
DİNCER
EKİZ
ŞAHİNER
ŞENGÜL
İLGÜN
AŞIK
ŞİRZAİ
ÖCALAN
KABA
TÜLÜCE
AYTEKİN
DÜGER
METİNEREN
BÖLÜK
GÖZAÇAN
BOZKURT
ÖNEY
AY
KÖYLÜ
ÖZMEN
TALAN
DUMLU
ZORLU
KÖYCÜ
UYGUR
KABACAOĞLU
TOPALOĞLU
AYIK
KARAMANLI
SADİ
OKTAY
YURTLU
SALMAN
CİRİT
SORGUN
NURÇİN
KAZANCI
KIYAK
METE
SAĞDIK
ARIKAN
KESİM
KARAGÖZ
PEKEL
YAKAR
TARLAN
ÇATAK
ÇETİNKOR
SAYIN
GÜMÜŞ
KOCAKAYA
GÜNAY
DÜZ
DİLEK
KURTULUŞ
KARPUZOĞLU
ERGİNTÜRK
BEYOĞLU
SULHAN
NUHVEREN
AVCIOĞLU
AHISKALI
ASENA
KARACAN
GÖLEMEZ
TOHUMOĞLU
BOZARSLAN
KÖŞKER
SÜL
TARKAN
DUMAN
HODJAOGLU
BALLI
ŞATIROĞLU
ÖNDE
LAĞARLI
ÖZÇAY
AKDEMİR
İÇBAY
DEMİRÖZ
KUYUCU
SELÇUK
İNCE
ERGÜLÜ
GÖKALP
BABACAN
ÜLGER
AYVAZ
ELVERDİ
CİMBEK
FIRAT
BAHÇEBAŞI
DAM
KÖROĞLU
KARACA
SEVEN
BÜYÜKTAŞ
SERTKAYA
ÖVEN
YALNIZ
SAVAŞ
BEREKET
PEKGÖZ
OLMAZ
SEVİNÇ
MERHAMETSİZ
ÇOBANOĞLU
ŞİMŞEK
BİNNETOĞLU
ÖĞÜTMEN
ÇINKIR
CAMCI
YAZAK
NİZAM
TÜRKOĞLU
DEMİRKOL
AKSAKAL
BOZOĞLAN
AYMAN
SAÇLI
KARAKILIÇ
BAKANAY
KARAKÖSE
GÜVEN
YEŞİLOVA
EŞKAZAN
GERDAN
MUMCUOĞLU
VATANSEVER
PAKÖZ
ATMIŞ
AKÇALI
FAKIOĞLU
YENİDÜNYA
ANIK
KÖSEOĞLU
SONAY
ÇELİKER
ÖZDEMİRKIRAN
DURÇ
İNER
BEREKATOĞLU
DİLLİ
ELBÜKEN
BAHÇECİ
BÜLBÜL
KADI
YÜCETÜRK
ÖZİŞ
ULUBAŞOĞLU
AKŞAHİN
KARPUZ
YABUL
GÖKSOY
KÖKSAL
TEKİŞ
AKSOY
BAŞYURT
YURDSEVEN
MERDEN
KISA
SANHAL
BİLGİ
KAYABAŞ
GÜRBOSTAN
KABİL
TAYYAR
ŞAHBAZ
YANCAR
OLGAÇ
MALÇOK
KARASU
KARADAĞ
TOPRAK
SAĞLAM
KEBAPCILAR
TATAR
YÜCE
TOLA
GÜNGÖR
ALTINBOĞA
YENİÇERİ
IŞIKALAN
GÜRBÜZ
KURU
YURDAM
BAŞARAN
ÜREYEN
MESCİ
ORHAN
BALSAK
ÇİFT
YAZICI
BAYRAMOĞLU
GENÇDAL
DESTEGÜL
KARÇİN
BAZ
ALTUNTAŞ
KIRBAŞ
KAYMAN
YEŞİLDAĞER
KAYAOĞLU
CELTEMEN
ŞANLIKAN
TANTEKİN
KARAALP
TUNCER
ATASOY
GÖK
ONAR
ASOĞLU
KHALİL
YURDAKÖK
KESKİN
KOÇARSLAN
TUNÇAY
SÜRMEN
SEVİNGİL
AKKAYA
KUSERLİ
TALAS
ÇEVİKER
KAYNAK
BAYRAKTAR
ÇETİNTAŞ
CANTÜRK
KARADENİZ
ALAN
KOYUNCU
BAKIRCI
NAR
ULUSOY
CELİLOĞLU
AKDENİZ
YERAL
GÜRDAL
KÜTÜK
KANYILMAZ
ÖZBEK
ALBAYRAK
MÜEZZİNOĞLU
TÜFENK
KIRIŞ
KIRASLAN
SALTÜRK
AÇIKGÖZ
SEVÜK
BAYTAN
AKTUĞ
SERİN
TUNCAY
GÜNBEY
TAŞAR
AVSEREN
BAL
BATMAZ
VEZİROĞLU
ARAZ
DALYAN
BAŞTÜRK
ERSOY
TAY
ERYILMAZ
OCAK
ÖZTÜRKERİ
EKEN
SARICA
CANSEVER
GÜZEL
ÇAKIR
AKSUN
BALAL
BAYAM
ŞAİR
ÜNLÜ
YUMURTAŞ
AYKAN
ALPSAN
CANATAN
TAŞKIRAN
HATİPOĞLU
SUCAK
GÖKSEL
KARSLI
ÖZGÜROL
ACAR
KALEM
DÖKMECİ
GÖRMELİ
ÖZATEŞ
SERVET
SÜNER
SARIKAYA
SULUOVA
SERBEST
EFE
TOPAK
ATBİNİCİ
ÖZ
TEPE
ÖZÜAK
ÖNCEL
CANBAZ
AL
GÜRER
GÖNCÜ
ÖZDAMAR
KARATOPRAK
ÇAVDAR
SÖZEN
GÖKÇEK
KARAKAYA
ÇEPNİ
KIR
ÇAĞLAR
ÖZALP
EVRENOS
BAYRAKTAROĞLU
USLUSOY
ATALAY
TOPKARA
TENEKECİ
ÇAĞIL
MERTOL
HIDIROĞLU
ÖNAL
YACI
IŞIKLI
ÜLGEN
KÜÇÜKGÖNCÜ
SU
KOÇAR
BALOĞLU
SARICANBAZ
SERT
ÖZAN
AKYILMAZ
BAKAN
KARAKAN
GÖRKEM
CILIZ
TEN
ATLANOĞLU
SOYDAN
TÜRKAY
MENTEŞ
PINARBAŞILI
ONAY
CERİT
İMAMOĞLU
YANMAZ
BÜBER
TAŞMALI
BULAKÇI
GERGER
YEŞİLKAYA
DÖNMEZ
YILMABAŞAR
DİKİCİ
ARİFOĞLU
FİDAN
SAKARYA
ÖZEN
ONAN
AKHUN
GÜRDEMİR
ALTINSOY
KALYONCU
ŞAŞMAZ
GÜLCAN
ALTUNA
GÜREL
ÖZKIRIŞ
İNCİ
AKBAŞ
BİCAN
SARGIN
AKKOYUNLU
KAYHAN
TEZER
GÜRAKAN
DOKUMACIOĞLU
KIRHAN
ESEN
ÖZAVCI
ÇEKİÇ
SAVRAN
GÖKMEYDAN
EMRE
KÜTÜKCÜ
DİKOĞLU
GÖRENEKLİ
KOCA
KILINÇ
BATGİ
TÜRKMEN
OKULU
KİRİŞCİ
KIZMAZ
ARGON
ALICI
FINDIK
ÜÇER
ERGÖZ
FİLİZ
ALABALIK
KIZANOĞLU
YAŞAR
ÇELEN
DEMİRELLİ
DANIŞOĞLU
GÜRSOY
ŞENER
ABAT
ERGÜN
ÇİÇEKBİLEK
ÜNÜŞ
OĞUZ
KOL
TOKER
KELEŞ
SEYREK
ASİL
TOKTAŞ
ARDIÇ
ÇOBANYILDIZI
MÜFTÜOĞLU
YEGEN
KARAOĞLANOĞLU
AYAS
KARKIN
BİLİCİ
ALBAŞ
TURAN
BAYRAKÇI
AŞKIN
KASAPOĞLU
BARIŞAN
ARDA
BARDAKÇI
ULU
KIVRAK
KILAVUZ
TAN
EŞFER
KARAKULAK
BABAYİĞİT
BARAN
ÖZYÖRÜK
DENİZ
ÖZDEN
KARAPIÇAK
SAKA
NASUHBEYOĞLU
İPLİKÇİ
ÖZEK
AYYILDIZ
ÇELİKTEN
SERTOĞLU
SARAYLI
KILIÇOĞLU
SEZEN
KOCABIYIK
ATILGAN
DARAMAN
ALTAŞ
GÖKGÜL
KAHRAMAN
GÜNGÖRMEZ
TAŞDELEN
EMELİ
SINICI
GÖKTAŞ
BAŞAR
TÜRKSOY
BAYRAK
ÇOKER
KUMBUL
ÖZATA
SEYREKOĞLU
BOLATTÜRK
DİRİCAN
TÜREMENOĞULLARI
AYDEMİR
APAYDIN
SAĞCAN
EVMEZ
TİKİCİ
TOMBUL
ÇİFTCİ
KELERCİOĞLU
BÜYÜKKAL
AÇAR
KARADAVUT
DUMLUDAĞ
AĞCA
BEKLER
KOÇER
OKUR
GENEZ
GÖRMÜŞ
ÖZLÜ
PULAT
SOBAY
COŞKUNER
PEYNİRCİ
CAN
ÇİÇEK
İNCEOĞLU
SÜMER
DUYAN
KARAMEŞE
KAPAR
PAKSOY
KALIPCI
DÜZCE
ÖZTAŞ
GÜLBAHAR
DÜZGÜN
ŞENCAN
AKTEMUR
TOY
KARADURAK
AKTÜRK
ÖZKAYNAR
GÜNEYSU
FİŞEKCİ
ESKİMEZ
ŞANLIER
SELVAN
YÜREK
EREL
UTLU
ÖRDEK
COŞKUN
FİLİZAY
HASSAN
GÖÇEN
GÖZÜGÜL
SÖNMEZER
GÜNEBAKAN
BİRİ
GÜZELKÜÇÜK
ATBAŞ
SEYHAN
AKKAŞ
DİL
BALTACI
POSTALLI
ARMAĞAN
SOLUK
CORUT
ÜNÜVAR
KIRAÇ
AKOVA
TOPALKARA
BOZPOLAT
GEDİKLİ
ŞAHAN
KUŞAKÇI
MANAV
KARABULUT
CANBOLAT
BABA
SERTKAYAOĞLU
UÇAR
ZEYLİ
YENİLMEZ
ÖRENÇ
ÖZGÜR
ÇİNPOLAT
KUŞ
DURSUN
YARADILMIŞ
GELEGEN
ÖLKER
ÖZTOPRAK
ÖZMUK
KAVUKOĞLU
KINDIR
KEMİK
SÖKMEN
KAYRA
İPEK
KEVKİR
HAMDEMİRCİ
ERAT
TANİN
YEL
TAŞTEKİN
ATİLLA
OZAN
KARADUMAN
TAZEOĞLU
DURMUŞ
AZRAK
ERZURUM
MELEKOĞLU
HALİS
CANDANER
ALTUNÖZ
GAZİ
İNSELÖZ
DEVECİ
SİL
ÜNGÜR
KÜTÜKOĞLU
TUNÇ
GÜMÜRDÜ
KASKALAN
OLCAR
ÇAKMAK
ALBAY
ALBEN
TEMURTAŞ
ÜÇGÜL
EKİNCİ
ERDOĞMUŞ
KAÇIRA
KANKILIÇ
OYNAK
YAKUT
BERENT
SUZAN
KARDAŞ
ÜZEN
GÜLLÜ
DEMİRER
TEL
AKBUDAK
KAPÇAK
ÖZSAYIM
DİLMEN
BAŞAK
ISSI
TURĞUT
ÇOBAN
SUVARİ
AKAY
YEŞİL
HOŞER
TAYFUR
SABAZ
AVCU
SUBARİ
YÜKSELMİŞ
BAKAY
HÜSEYNİ
İZGİ
AKTAN
DÜZEL
TOKAR
ÇEÇEN
BURULDAY
ÇETİNKAYA
ZENGİN
KAYAALP
SÖZER
KURALAY
ARACI
ALP
ALIM
YÖRÜK
LEVENT
KARAKAŞ
DADALI
ARIKBOĞA
AKYÜREK
GENCAN
KITAY
KORKUT
İVACIK
ÇATUK
KARAKOYUNLU
CİNBİZ
CAMGÖZ
BAŞDAŞ
HAKYOL
VAROL
SAĞ
ÜRÜN
BERBER
AKMEŞE
GÖKCE
HEYBET
BABADAĞI
ERTÜRK
ALTIN
PARLAK
CEBECİ
BAYANA
BEKAR
VURGAN
KURTPINAR
BAĞCI
SARIÇİÇEK
TIRAŞ
ÇİTİL
KOÇYİĞİT
BARATALI
YORGANCI
ORAK
TOKATLIOĞLU
YERLİKAYA
EMİRLİOĞLU
GÖKÇE
USUL
TURAÇ
ARIK
GÜLTEKİN
KANNECİ
TEOMAN
BAKLACI
SEVİMLİ
SÖYLER
KONURALP
DÖNERTAŞ
GÖKÇEN
KARATAŞ
BAŞARGAN
TOKAT
ÇAVLI
ATAK
BÖCÜ
ÖREN
ŞENGÜLEROĞLU
İLHAN
YAYIKÇI
KOR
ŞİRİN
DURUK
AVŞAR
ÖZASLAN
HÜSEYİNOĞLU
KÜÇÜKYILDIZ
MENEKŞE
TÜRE
OFLAZOĞLU
AZAP
ZAİM
DURAN
AYDUĞAN
KOTTAŞ
BACAK
AYCAN
1
TOPÇU
KARLI
GÜRPINAR
KAÇER
ONRAT
ELÇİÇEK
ADIGÜZEL
TEHLİ
OSMANCA
USLUBAŞ
GÖRÜNMEZ
DAĞ
OLGEN
ÜZÜM
ÖZCANLI
ŞEKERLER
ÇINKIT
BAŞCI
KESGİN
GÖDE
ŞARLAK
KERİMOĞLU
SELİM
YILDIZOĞLU
BULUÇ
KOCUBEYOĞLU
KARALAR
ÇOPUR
EYİSOY
ÜSTÜNDAĞ
ÖKTEM
YAŞAN
USLU
BOZOĞLU
KOCASARAÇ
ALĞAN
ERDAL
KAYKA
BACAKSIZ
ÜNALAN
ZEYBEK
TEMİZ
ETLEÇ
PEHLİVAN
COŞAR
KAHYA
UFACIK
DURMAZ
TURMUŞ
ÇİLESİZ
CANPOLAT
KORUCU
DEMİRDAĞ
BOZAN
İNANMAZ
AKSÖZ
YAŞİT
GÜMÜŞÇÜ
GÖKKOCA
DEMİRKAPI
ÇEVİRGEN
DÜNDAR
ELÇİ
ATİLA
ALBOĞA
ASIG
AKKAN
ATABAY
BALTA
BÖRTA
BOĞAN
BAYAR
ÇÖREKLİ
HALICI
GÖKTEPE
KOLUŞ
İNANÇ
ORMAN
NACAR
SADIÇ
ÖZKANLI
SALDIRAY
SULTANOĞLU
SOMAY
URUÇ
TOLU
SÜVERAN
YETKİNŞEKERCİ
SOYTAŞ
BOLSOY
ARPAT
ALIŞIK
ONAT
KARAARSLAN
GÖKTEN
EVRAN
ARARAT
AKANSEL
DEVELİ
DEMİRCAN
BÜYÜKDOĞAN
GÜLEÇ
EMET
İLERİ
İLBAY
GÜNEŞ
GÜLENAY
NADASTEPE
ÜLKEVAN
SEĞMEN
ÖZDİL
MERT
MERSİN
KIRLANGIÇ
KENDİRLİ
KARNAS
KARCIOĞLU
KARAİSMAİLOĞLU
KAN
YANIK
YAĞCIZEYBEK
TOŞUR
SOYER
SANDAL
ORDULU
OMAY
KIRCALI
KARAAĞAÇ
KABAKUŞ
İLGEN
GÖRDÜK
EVREN
ERTAŞ
ELDEM
DEMİRTÜRK
BAŞ
BARÇA
AYDOS
BOBUŞOĞLU
KIRLI
BÖYÜK
YURTDAŞ
YEGİN
YAKKAN
ULAŞ
TOPER
SAYİNER
SARIGÜL
ÖZSAYGILI
KOLSUZ
KEŞKEK
KEKLİKÇİOĞLU
KAYKI
KARAKÖK
KACEMER
İŞGÖREN
ILGIN
HİÇDURMAZ
GÜVERCİN
ESMERAY
ERKAN
EMLEK
DAYLAK
ÇOMUT
BOSTANKOLU
BAĞ
ALPARSLAN
